movie_1,movie_2,movie_3,movie_4,movie_5,movie_6,movie_7,date,movie_watch,past_success
The Last Emperor,The Conjuring 2,Conspiracy Theory,Who Killed the Electric Car?,Skyline,No Escape,Big Momma's House,2024-01-01,Cotton Comes to Harlem,True
Face/Off,The Hunger Games: Mockingjay - Part 1,All Good Things,Ray,Extraordinary Measures,Notting Hill,Teeth and Blood,2024-01-01,Desert Blue,False
The Spectacular Now,Love and Death on Long Island,August Rush,May,Sunday School Musical,Battle of the Year,Broken City,2024-01-01,Crazy/Beautiful,True
Ace Ventura: Pet Detective,Joe Dirt,The Cat in the Hat,Roll Bounce,Navy Seals vs. Zombies,The Lost Weekend,Lethal Weapon 3,2024-01-01,Welcome Home Roscoe Jenkins,False
Pontypool,Up,Reservoir Dogs,Religulous,Blood Work,The Help,Raiders of the Lost Ark,2024-01-01,Free State of Jones,False
National Lampoon's Vacation,The Queen,Carrie,西游记之孙悟空三打白骨精,Obvious Child,Promised Land,Julia,2024-01-01,Big,True
Open Range,The Last Shot,The Secret Life of Walter Mitty,East Is East,Phantasm II,Epic,Secret Window,2024-01-02,Chain of Command,False
E.T. the Extra-Terrestrial,L!fe Happens,Getaway,Godsend,Hoot,Alive,The Caveman's Valentine,2024-01-02,Thr3e,False
Amnesiac,X-Men: The Last Stand,What to Expect When You're Expecting,Inside Man,De jurk,It's All Gone Pete Tong,Need for Speed,2024-01-02,Pride & Prejudice,False
Show Boat,The River Wild,Let's Be Cops,Toy Story 2,Rien ne va plus,La sirène du Mississipi,もののけ姫,2024-01-02,The Incredibly True Adventure of Two Girls In Love,False
The Dead Zone,54,Arthur Christmas,Apollo 18,Sling Blade,Doogal,47 Ronin,2024-01-02,Blade: Trinity,False
Oorlogswinter,Lo imposible,X-Men: Apocalypse,1776,The Women,Grudge Match,The Last Exorcism,2024-01-02,Doomsday,False
The Damned United,Curious George,The Frozen Ground,To Rome with Love,Monsters University,Love and Death on Long Island,Lethal Weapon 3,2024-01-03,While We're Young,False
Sugar Hill,Escape from Planet Earth,Antibirth,White Squall,Diary of a Wimpy Kid,Spy Kids,Sunshine,2024-01-03,Prom,False
Superbad,Lottery Ticket,4: Rise of the Silver Surfer,Pearl Harbor,Novocaine,The Blood of Heroes,실미도,2024-01-03,Super,False
G.I. Joe: The Rise of Cobra,The Skulls,Heli,Bending Steel,New Year's Eve,Like Mike,Lies in Plain Sight,2024-01-03,Sky High,False
"Happy, Texas",Scream 3,Any Given Sunday,Bait,Braveheart,The Thief and the Cobbler,Family Plot,2024-01-03,Batman Forever,False
Mooz-lum,Growing Up Smith,Henry V,Raising Victor Vargas,3:10 to Yuma,Annie,The Homesman,2024-01-03,Saw,False
"4 luni, 3 săptămîni și 2 zile",The Lost Boys,The Mighty Ducks,The Visual Bible: The Gospel of John,Jungle Shuffle,The Visual Bible: The Gospel of John,Oorlogswinter,2024-01-04,H.,False
Porky's,Days of Thunder,Faith Like Potatoes,The Spy Next Door,Martian Child,U.F.O.,EverAfter,2024-01-04,Last Action Hero,False
Beowulf,The Muppet Movie,Adaptation.,The Last Waltz,First Knight,Crimson Tide,Arbitrage,2024-01-04,Max Keeble's Big Move,False
From a Whisper to a Scream,V for Vendetta,Moonlight Mile,EverAfter,8 Heads in a Duffel Bag,GoodFellas,Beasts of the Southern Wild,2024-01-04,Sleepers,False
Hoodwinked Too! Hood VS. Evil,That Awkward Moment,Prometheus,Central do Brasil,The Scarlet Letter,Wind Walkers,Dream with the Fishes,2024-01-04,Hatchet,False
The Saint,Free Style,Jersey Boys,A Few Good Men,Antitrust,Catch Me If You Can,Heavenly Creatures,2024-01-04,The Sweeney,True
Thunderball,Yoga Hosers,Thir13en Ghosts,Treading Water,Delgo,Contraband,Samsara,2024-01-05,Saw,False
Mystic River,Alexander,Aberdeen,Lone Star,Hurricane Streets,Coach Carter,The Wood,2024-01-05,"Good Morning, Vietnam",False
The Apostle,The Perfect Host,Boogie Nights,Valley of the Heart's Delight,Coyote Ugly,The Joneses,The Boxtrolls,2024-01-05,Very Bad Things,True
In the Valley of Elah,Konferenz der Tiere,Cape Fear,The Boy Next Door,Run Fatboy Run,My Dog Skip,The Break-Up,2024-01-05,Big Daddy,False
The Ninth Gate,Daddy Day Camp,Exodus: Gods and Kings,The Toxic Avenger,Titanic,No Escape,Alatriste,2024-01-05,A Nightmare on Elm Street,False
Swimfan,Righteous Kill,The Magic Flute,Best in Show,West Side Story,Into the Wild,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,2024-01-05,Crash,False
Serving Sara,Sex Drive,La femme de chambre du Titanic,How High,Monster-in-Law,The Secret,The Princess Diaries,2024-01-06,Straight Out of Brooklyn,False
The Nutty Professor,Racing Stripes,Белка и Стрелка. Звёздные собаки,The Kids Are All Right,Inside Job,Rush Hour 3,Emma,2024-01-06,The Kid,False
Good Will Hunting,RED,Lake of Fire,Mission to Mars,Outside Providence,Scoop,Knock Off,2024-01-06,Shooter,False
Kiss Kiss Bang Bang,The Town,My Date with Drew,WarGames,The Fan,"María, llena eres de gracia",The Croods,2024-01-06,Shade,True
Project Almanac,Pirates of the Caribbean: The Curse of the Black Pearl,Astérix aux Jeux Olympiques,Counting,U2 3D,Inkheart,L!fe Happens,2024-01-06,The Secret Life of Walter Mitty,False
RED,The Last Five Years,Aliens in the Attic,Bats,August,From Hell,Octopussy,2024-01-06,The Blue Bird,False
Boat Trip,Absentia,Kicks,Seed of Chucky,Saving Private Ryan,Higher Ground,Kingpin,2024-01-07,Yesterday Was a Lie,False
Clueless,Top Spin,Idiocracy,Ace Ventura: Pet Detective,"For a Good Time, Call...",Timecop,Das Boot,2024-01-07,Happy Feet Two,True
The Brown Bunny,The Texas Chainsaw Massacre: The Beginning,Back to the Future Part II,Gran Torino,The Tale of Despereaux,Hard Candy,What's the Worst That Could Happen?,2024-01-07,Road Hard,False
The Sisterhood of the Traveling Pants 2,Beverly Hills Chihuahua,Julija in Alfa Romeo,Drag Me to Hell,Driving Lessons,Date Movie,Containment,2024-01-07,Meet the Parents,False
Æon Flux,The Postman Always Rings Twice,A Few Good Men,Madea's Family Reunion,Divine Secrets of the Ya-Ya Sisterhood,Romeo Is Bleeding,Hurricane Streets,2024-01-07,Killer Joe,False
Kansas City,Mr. Popper's Penguins,Nanny McPhee,George and the Dragon,Gone with the Wind,Don McKay,Lucky Number Slevin,2024-01-07,The Iceman,False
Niagara,디워,Micmacs à tire-larigot,I Am Number Four,Blood Ties,WarGames,Alien³,2024-01-08,Fled,False
Small Apartments,Hop,Smilla's Sense of Snow,A Most Wanted Man,Madea's Family Reunion,"Surfer, Dude",Prince of Persia: The Sands of Time,2024-01-08,Lucky Number Slevin,False
Couples Retreat,Oorlogswinter,50 First Dates,Psycho Beach Party,Legally Blonde,Close Range,The Chronicles of Riddick,2024-01-08,There's Something About Mary,False
Donnie Darko,Rachel Getting Married,Wordplay,Mickey Blue Eyes,Prefontaine,The Prestige,Bloodsport,2024-01-08,Casino Jack,False
The Last King of Scotland,Trees Lounge,Cleopatra,Groove,Exodus: Gods and Kings,Hostage,The Trouble with Harry,2024-01-08,The Others,False
Dumb and Dumberer: When Harry Met Lloyd,Stick It,Fugly,The Producers,"South Park: Bigger, Longer & Uncut",Friday the 13th Part VIII: Jason Takes Manhattan,Ex Machina,2024-01-08,Metropolitan,False
Return to the Blue Lagoon,Doomsday,A escondidas,"María, llena eres de gracia",The Rise of the Krays,Tracker,Saving Silverman,2024-01-09,Jerusalema,False
The Break-Up,Assault on Precinct 13,The Chronicles of Narnia: Prince Caspian,Harsh Times,Broken City,Erin Brockovich,3 Days to Kill,2024-01-09,Redbelt,False
Love Actually,Kiss Kiss Bang Bang,Ink,The Hunchback of Notre Dame,House of D,The Ladies Man,Michael Jackson's This Is It,2024-01-09,Undiscovered,False
90 Minutes in Heaven,Young Guns,Higher Ground,Modern Problems,Dark City,Red State,The Change-Up,2024-01-09,Super,False
3:10 to Yuma,There Be Dragons,Dracula,Hop,Pirates of the Caribbean: At World's End,Reindeer Games,10 Cloverfield Lane,2024-01-09,A Most Wanted Man,False
कभी अलविदा ना कहना,The Fifth Element,Cast Away,The Martian,The Thief and the Cobbler,Austin Powers: The Spy Who Shagged Me,Mad Max: Fury Road,2024-01-09,Biutiful,True
